"vin","make","model","body_type","manufacture_date"
1HGCM82633A004352,Toyota,Camry,sedan,Thu Mar 15 2018 00:00:00 GMT-0400 (Eastern Daylight Time)
2T1BURHE0JC123456,Honda,Civic,sedan,Mon Jul 22 2019 00:00:00 GMT-0400 (Eastern Daylight Time)
3FA6P0H74HR123789,Ford,F-150,pickup,Sun Nov 08 2020 00:00:00 GMT-0500 (Eastern Standard Time)
1G1ZD5ST8JF123654,Chevrolet,Silverado,pickup,Sun May 30 2021 00:00:00 GMT-0400 (Eastern Daylight Time)
5YJ3E1EA7KF123987,Tesla,Model 3,sedan,Fri Jan 14 2022 00:00:00 GMT-0500 (Eastern Standard Time)
JN8AS5MV0CW123456,Nissan,Rogue,SUV,Tue Sep 03 2019 00:00:00 GMT-0400 (Eastern Daylight Time)
2HKRM4H35FH123654,Honda,CR-V,SUV,Sun Jun 18 2017 00:00:00 GMT-0400 (Eastern Daylight Time)
5TFAY5F11LX123987,Toyota,Tundra,pickup,Sat Apr 25 2020 00:00:00 GMT-0400 (Eastern Daylight Time)
1FTFW1ET5DFC12345,Ford,Mustang,coupe,Sun Aug 12 2018 00:00:00 GMT-0400 (Eastern Daylight Time)
2G1FP22PXX1234567,Chevrolet,Camaro,coupe,Sun Dec 01 2019 00:00:00 GMT-0500 (Eastern Standard Time)
JTDKBRFU0G3000001,Toyota,Prius,sedan,Sun Feb 28 2016 00:00:00 GMT-0500 (Eastern Standard Time)
3VWFE21C04M000123,Volkswagen,Jetta,sedan,Mon Oct 09 2017 00:00:00 GMT-0400 (Eastern Daylight Time)
WBA8E9G50GNT12345,BMW,3 Series,sedan,Tue Mar 17 2020 00:00:00 GMT-0400 (Eastern Daylight Time)
WDDGF4HB6ER123456,Mercedes-Benz,C-Class,sedan,Wed Aug 21 2019 00:00:00 GMT-0400 (Eastern Daylight Time)
WAUDF78E45A123789,Audi,A4,sedan,Sun Nov 04 2018 00:00:00 GMT-0400 (Eastern Daylight Time)
5XYZH4AG3GH123654,Hyundai,Sonata,sedan,Sun Jul 16 2017 00:00:00 GMT-0400 (Eastern Daylight Time)
KMHCT4AE5DU123987,Hyundai,Elantra,sedan,Tue Apr 23 2019 00:00:00 GMT-0400 (Eastern Daylight Time)
1B3CB4HA2BD123456,Dodge,Challenger,coupe,Thu Sep 30 2021 00:00:00 GMT-0400 (Eastern Daylight Time)
2C3CDZAG3FH123654,Dodge,Charger,sedan,Sat Dec 12 2020 00:00:00 GMT-0500 (Eastern Standard Time)
1C4RJFAG0FC123987,Jeep,Grand Cherokee,SUV,Sun May 27 2018 00:00:00 GMT-0400 (Eastern Daylight Time)
1FM5K7D88EG123456,Ford,Explorer,SUV,Sat Jan 19 2019 00:00:00 GMT-0500 (Eastern Standard Time)
5NPDH4AE0DH123654,Hyundai,Tucson,SUV,Mon Jun 08 2020 00:00:00 GMT-0400 (Eastern Daylight Time)
JM1NDAM77J0123456,Mazda,MX-5 Miata,coupe,Fri Sep 14 2018 00:00:00 GMT-0400 (Eastern Daylight Time)
3MZBM1U75EM123654,Mazda,CX-5,SUV,Tue Mar 26 2019 00:00:00 GMT-0400 (Eastern Daylight Time)
JF2SJADC0FH123987,Subaru,Outback,SUV,Sat Nov 11 2017 00:00:00 GMT-0500 (Eastern Standard Time)
4S3BMHB68B3123456,Subaru,Impreza,sedan,Wed Aug 03 2016 00:00:00 GMT-0400 (Eastern Daylight Time)
KNDJT2A28A7123654,Kia,Soul,SUV,Wed Apr 18 2018 00:00:00 GMT-0400 (Eastern Daylight Time)
5XXGT4L30GG123987,Kia,Optima,sedan,Fri Oct 25 2019 00:00:00 GMT-0400 (Eastern Daylight Time)
1G6AR5SX0E0123456,Cadillac,ATS,sedan,Fri Feb 14 2020 00:00:00 GMT-0500 (Eastern Standard Time)
2T1BURHE0JC987654,Lexus,RX,SUV,Fri Jul 09 2021 00:00:00 GMT-0400 (Eastern Daylight Time)
